,,
,,
,НОМЕНКЛАТУРА НА ДАНЪЧНИТЕ РЕЖИМИ,
,,
,Кодовете по-долу следва да бъдат използвани за попълване на полето TaxType в TaxIDStructure.,
,Номенклатура за определяне на данъчните режими по отношение на ДДС.,
,,
,Код,Описание
,100010,"Данъчно задължено лице, регистрирано за целите на ДДС"
,100020,Всяко друго данъчно задължено лице
,100030,Данъчно незадължено лице
