522 ,Краткосрочни вземания и заеми от нефинансови предприятия и други клиенти
523 ,"Краткосрочни вземания и заеми заложени, като обезпечение"
524 ,Просрочени краткосрочни вземания и заеми
529 ,Други краткосрочни вземания и заеми
601 ,Разходи за материали
602 ,Разходи за външни услуги
603 ,Разходи за амортизация
604 ,Разходи за заплати /възнаграждения/
605 ,Разходи за осигуровки
606 ,"Разходи за данъци, такси и други подобни плащания"
607 ,Разходи за провизии
608 ,Разходи от последващи оценки на активи
609 ,Други разходи
611 ,Разходи за основна дейност
612 ,Разходи за спомагателна дейност
613 ,Разходи за придобиване на дълготрайни активи
614 ,Административни разходи
615 ,Разходи за продажба
616 ,Разходи за ликвидация на дълготрайни материални активи
617 ,Разходи по дейности в предприятия с нестопанска дейност
618 ,Разходи при ликвидация и несъстоятелност
621 ,Разходи за лихви
622 ,Разходи за провизиране на рискови активи
623 ,Разходи по операции с финансови активи и инструменти
624 ,Разходи по валутни операции
625 ,Разходи от последващи оценки на финансови активи и инструменти
629 ,Други финансови разходи
651 ,Нефинансови разходи за бъдещи периоди
652 ,Финансови разходи за бъдещи периоди
691 ,Отписани вземания
692 ,Разходи за глоби и неустойки
699 ,Други извънредни разходи
701 ,Приходи от продажба на продукция
702 ,Приходи от продажба на стоки
703 ,Приходи от продажба на услуги
705 ,Приходи от продажби на дълготрайни активи
709 ,Други приходи
711 ,Приходи от регламентиране дейност
712 ,Приходи от членски внос
713 ,Приходи от дарения
714 ,Приходи от субсидии
719 ,Други приходи
721 ,Приходи от лихви
722 ,Приходи от дялово участие
723 ,Приходи от операции с финансови активи и инструменти
724 ,Приходи от валутни операции
725 ,Приходи от последващи оценки на финансови активи и инструменти
726 ,Приходи от реинтегрирани провизии
729 ,Други финансови приходи
751 ,Нефинансови приходи за бъдещи периоди
752 ,Финансови приходи за бъдещи периоди
753 ,Финансиране за дълготрайни активи
754 ,Финансиране на текущата дейност
791 ,Отписани задължения
792 ,Приходи от глоби и неустойки
799 ,Други извънредни приходи
980 ,Разни активни задбалансови сметки
990 ,Разни пасивни задбалансови сметки
